postText	phrase(s)	spoiler
The Secret Reason Apple Might Be Killing the iPhone headphone jack	"[Regardless of what other whiz-bang goodness Apple introduces this year — and I'm sure there will be at least one feature that will make even the most jaded amongst us salivate — the reality is that this will absolutely be the iPhone remembered as ""the one where Apple dropped the headphone jack."", Maybe I'm reading too much into the tea leaves, but it strikes me that Apple could be deliberately cutting the headphone jack this year — a year that is already going to be less exciting by virtue of no major redesign — in order to protect the next iPhone from the inevitable backlash over the headphone jack's removal.]"	"[""If we're being honest, this probably won't be the most exciting iPhone release we've seen""]"
Guess Who Amber Rose Wants to Be Her Next Baby's Father	[Amber Rose has one adorable kid with her ex, Wiz Khalifa , and she's apparently already thinking about baby No. 2.]	['Wiz Khalifa']
Who knew @NickiMinaj's natural hair looked like this?	[But it's her natural hair that recently grabbed headlines and our attention., This isn't the fist time we've gotten a glimpse of her au natural tresses, but it's definitely a more up close and personal look., And here is Nicki's final look with a small added hair piece for more body.]	['Long And Healthy']
Here’s what happens when schools let transgender students use the bathroom they want	[The 770-student school allows its five or so transgender students to use the bathroom that corresponds with their gender identity., Last month, the U.S. Department of Education and the U.S. Justice Department told schools across the country that Title IX of a 1972 federal education law protects transgender students from discrimination based on sex, including the use of bathrooms, locker rooms and showering facilities.]	"['The school created two ""all-gender,"" single-stall restrooms in February. Students can still choose what works best for them.']"
"Adele's ""Hello"" video smashes YouTube record"	"[Adele continues to smash records as her hit song ""Hello"" became the fastest video to break 1 billion views on YouTube.]"	['fastest video to break 1 billion views']
@HillaryClinton gets the advice she never asked for	[Though we doubt the former senator with a proclivity for pantsuits asked for any advice.]	['Fashion Advice']
10 things you need to know before the opening bell	[Here is what you need to know.]	['The Fed is expected to hike rates', 'The Netherlands is going to the polls', 'Oil is making a comeback', 'An early Twitter investor hates the stock']
How One Theory You Never Heard of Explains Everything Donald Trump Does	"[When Donald Trump declared his candidacy for president a year ago, Nate Silver’s FiveThirtyEight political blog said he had ""a better chance of cameoing in another ‘Home Alone’ movie with Macaulay Culkin—or playing in the NBA Finals—than winning the Republican nomination."", One thing is sure, though: While Donald Trump has thus far appeared to accomplish the impossible, even he has limits., This theory, named for the late Joseph P. Overton of the Mackinac Center for Public Policy, is a way to explain how opinions about public policies shift over time and the constraints within which policymakers operate., Trump’s Public Policy, Explained]"	['The Overton Window']
BREAKING: This State Just Banned the Sale of ALL Semi-Auto Rifles, Effective Immediately	"[It prohibits the sale of specific weapons like the Colt AR-15 and AK-47 and explicitly bans ""copies or duplicates"" of those weapons., In the dozen years since the federal assault weapons ban lapsed, only seven states have instituted their own assault weapons ban.]"	['Massachusetts']
One of the most useful iOS apps is finally back	[One of the Most Useful iOS, Apps Is Finally Back, A popular video-playing app is finally back in the App Store., VLC, the cross-platform multimedia player that plays a variety of different file types, is once again available on iOS devices after being pulled from the App Store around the time iOS 8 released in September.]	['VLC']
UFC Fighter Valentina Shevchenko Involved In Armed Robbery Shootout	[UFC Fighter Valentina Shevchenko was today involved in an armed robbery shootout in Chorrillos, Peru yesterday.]	['Shevchenko’s coach, Pavel Fedotov, was armed with a gun and decided to take matters into his own hands. Firing at the group of men, Fedotov allegedly killed one of the men. He was then shot himself in the stomach']
And the world's safest country in terms of homicides is...	[The world’s safest country, in terms of homicide, is tiny Liechtenstein, which didn’t have any murders in 2012, but there are a number of countries, especially in Europe and East Asia, with rates lower than 1 per 100,000.]	['Liechtenstein']
Here's how long you can hold onto your cosmetics (via @GMA)	"[""Good Morning America"" teamed up with lifestyle expert April Franzino, the beauty director at Good Housekeeping magazine, to find out how long you can keep day-to-day products such as makeup and shampoo., Aerosol spray products can last much longer., The U.S. Food and Drug Administration (FDA) does not regulate cosmetics, but does warn consumers that ""a cosmetic product may go bad if it is stored improperly — for example, in a place that is too warm or too moist."", ""It's hard to keep track of every single thing that you have so before you go to use any product just take a second and think, 'Okay, have I had this for a really long time?'"", Franzino's tips to save money on beauty products include swapping out liquid eyeliner in favor of a longer-lasting pencil and buying products that have pumps instead of traditional lids because they prevent bacteria from getting in.]"	['concealer and foundation, should be replaced every six months', 'eyeliner and mascara, should be replaced every three months', 'shampoo and conditioner are generally good for a year']
The things you should never, ever do at a wedding	[A huge number of users declared marriage proposals one of the tackiest things you can do at someone else’s wedding.]	['marriage proposals', 'vulgar gags about marriage', 'being asked for money']
How one man could have fathered 1000 kids	[Ismaïl's rule was the longest in Moroccan history, and toward its end he controlled the country with an army of more than 150,000 men., Men who merely looked at one of his wives or concubines were punished by death., According to the Guinness Book of World Records, Ismaïl fathered 888 children, the greatest number of progeny for anyone throughout history that can be verified., Some researchers claimed it was unlikely Ismaïl could have fathered that many offspring, noting that women are only fertile for a small window each month, that sperm usually do not fertilize eggs, and that infertility often afflicts women, especially in the developing world., The simulations suggest Ismaïl needed to have sex an average of 0.83 to 1.43 times per day in order to father 1,171 children in 32 years.]	['Sultan Moulay Ismaïl of Morocco', 'have sex an average of 0.83 to 1.43 times per day in order to father 1,171 children in 32 years']
Customer reports cook with Down syndrome but was shocked when they discovered who he was	[A customer dining at Ankar’s Hoagles in Chattanooga, Tennessee (US) noticed that the cook was suffering from Down syndrome]	['restaurant’s manager and co-owner']
We can't believe these are all under $100	[We've rounded up 19 warm sweaters that are all under $100.]	['sweaters']
15 of the most powerful women in the weed industry	[To celebrate women in weed, we spoke to 15 of the most powerful and influential women in the business:]	['1. Dr. Lakisha Jenkins, Master Herbalist', '2. Rachel K. Gillette, Attorney', '3. Lynne Lyman, California State Director for the Drug Policy Alliance', '4. Charlo Greene, Founder of Alaska Cannabis Club', '5. Jessica Peters, President of Moxie Meds']
Is There Really A 2 Billion-Year-Old Nuclear Reactor In Africa?	[An ancient nuclear reactor that was churning away 2 billion years ago sounds like a myth., While 0.720% might seem small, it's perfect for nuclear fission, and when the ore samples from Okla are compared to other samples from all over the world, it is likely that this was the percentage over 2 billion years ago when the reactor started.]	"[""the reactor is a region of natural uranium within the Earth's crust, found in Okla, Gabon. Uranium is naturally radioactive, and the conditions in this rocky area happened to be just right to cook up some nuclear reactions.""]"
How technology will bring loved ones back to life	[But while we're far from achieving that pinnacle of immorality, technology in the here-and-now has already started giving us a sliver of eternal life while shaping how we grieve our loved ones if and when they die.]	"['These services offer a way for us to build monuments to ourselves. They let us combine our curated memories and experiences with all our messy data — the texts and tweets and ""Likes"" and photos — and organize it into something that we hope will let our loved ones and future generations actually understand something about who we were.']"
Breast cancer rates are on the rise among these women	[Breast Cancer Rates On The Rise Among Black Women]	['Black Women']
We found out what happens after you catch every Pokémon	[As for other fellow trainers hoping to catch them all, his first piece of advice is to talk to trainers for tips on where to find certain Pokémon.]	['Marriott Rewards has offered to sponsor Johnson to go to Europe, Japan and Australia to catch the regionally based Pokémon and finish his collection']
"Sorry, Vegas. A new ""world's largest hotel"" is due to open in 2017. Find out where:"	[That room count would make the hotel, scheduled to open in 2017, the world's largest, (CNN) Twelve towers, 10,000 rooms and 70 restaurants, plus helipads and a full-size convention center: That's the plan for Abraj Kudai, a complex in Mecca, Saudi Arabia, that's set to become the world's largest hotel by room count when it opens in 2017.]	['Abraj Kudai', 'Mecca, Saudi Arabia']
This is what happens when the government tries to grow weed. (Hint: It ain’t good.)	[In the age of stickiest-of-ickiest-and-rising THC percentages, it appears the United States government still supplies researchers with low grade brick weed you probably smoked in high school., Lighting, air quality, humidity and pests can all play a massive role in the end product, so growing weed may be pretty easy, but growing great weed can be pretty taxing., So the government clearly doesn't have it together when it comes to growing pot.]	['Not only is the weed bad, but Sisley claims it was moldy as well']
5 things to know about presidential debate moderator Lester Holt	"[""NBC Nightly News"" anchor Lester Holt will moderate the first presidential debate Monday., Lester Holt, anchor of ""NBC Nightly News"" will moderate Monday's presidential debate between Hillary Clinton and Donald Trump., Holt is the first black presidential debate moderator since 1992, Holt, whose grandparents immigrated to the United Stats from Jamaica, is the first black moderator of a general election presidential debate since Carole Simpson in 1992.]"	"['Holt is a registered Republican', 'Holt is the first black presidential debate moderator since 1992', ""He's not really into the Twitter"", 'He moderated a Democratic primary debate', ""Holt has two honorary doctorates, but no bachelor's degree""]"
The one thing you should never say to someone w/ OCD	"[Now, it's not always color-coding closets -- it could be anything from polishing silverware, to double-checking locks, to eating the same thing every day for breakfast., And yes, OCD symptoms present both in a variety of ways as well as varying degrees., Here's why: It's insensitive to diminish OCD to the one, slightly obsessive or compulsive behavior you have., It shows a serious lack of understanding of what OCD is and does, and is a subtle yet powerful way of saying ""Oh, we all have that!, Because even if color-coding your closet is an annoying habit -- and I'll give it to you, maybe even an ""obsession"" or ""compulsion"" -- your comment comparing this to actual, medically-diagnosed OCD comes off as an underhanded way of telling me that it's not only something that everyone has, but something that doesn't warrant psychiatric or therapeutic attention., Now, I know this isn't your intention, and I try to keep this in mind as I grind my teeth and try to explain somehow, that no, that really is not the same thing., My OCD has affected me for as long as I can remember -- and although it's now managed well enough where it's not necessarily something people notice on their own (a proud accomplishment, if I do say so myself), there have been times it has been debilitating: severe anxiety; bleeding knuckles from obsessive washing; rapid weight drops from stress-related appetite loss; intricate and obscenely repetitive bedtime routines., But please, take this route instead of attempting to relate in a way that, unless you actually have diagnosed OCD, you would never be able to.]"	"['""OMG same! I keep my closet perfectly color-coded!""']"
The Top 5 Free and Open Source Inventory Management Software Systems	[Here are five free or open source inventory management offerings for small businesses.]	['inFlow', 'Carta', 'Rightcontrol Lite', 'Odoo', 'ABC Inventory']
The first photos from the reboot are here.	[Tomb Raider starring Angelina Jolie is now older than many sentient moviegoers, so the beloved video game series was due for a reboot any day.]	['Tomb Raider']
This is how most college students actually use Tinder	[This is how most college students actually use TinderMore]	['swipe left on Tinder and choose the old-fashioned way']
Apparently All Taylor Swift and Tom Hiddleston Do Is...	[Apparently All Taylor Swift and Tom Hiddleston Do Is Take Walks on Beaches]	['Take Walks on Beaches']
The four-letter word NO woman wants to hear	"[There are few words that trigger such a vehement reaction among midlifers than ""ma'am."", Much has been written about the use of ""ma'am"" -- kids in the south are raised using the word as a term of respect -- but still the word sometimes makes us wince., Pam Williams had what might be the best solution of all: ""Want to be liked?"", ""Address ALL women as 'Miss' and let them correct you -- most won't."", As for what is arguably the most-famous ""Ma'am-ing"" in pop culture, it turns out that the ""Just the facts, Ma'am"" widely attributed to Joe Friday in the popular series ""Dragnet"" may not have actually been those precise words., Those who keep track of such things say Friday's catch-phrase was actually, ""All we want are the facts, Ma'am.""]"	"[""ma'am""]"
What Julia Roberts thinks of Jennifer Lawrence	[One person, however, who isn't completely on board with Lawrence earning that title is Julia Roberts.]	"['""I think she\'s fabulous,""']"
NASA just announced something big	[NASA announced that it is ready to proceed with the final design and construction of Mars 2020, scheduled to launch in the summer of 2020 and land on Mars in February 2021., This big step in development is a big deal, becaus Mars 2020 is the first step in what could be a multi-mission campaign to return Martian rocks and soil to Earth, and would be a big milestone in NASA’s mission to understand Mars better and whether life ever existed.]	['its next Mars rover, dubbed Mars 2020, has cleared a massive hurdle that could see it speeding toward the Red Planet in just a few years.']
Why cars went from boxy in the '80s to curvy in the '90s	[But its edges are still way more rounded than the truly boxy cars of the '80s — and even the groundbreaking, futuristic 1986 Ford Taurus.]	['largely due to three interrelated factors: European style trends, a government-mandated push for fuel economy, and new technologies that allowed manufacturers to more easily design and create curved shapes.']
The money-making secrets that rich people swear by	[Money expert Alan Andrews of Kis Finance has revealed the very simple rules that rich people swear by for making - and maintaining - their wealth.]	['Avoid becoming a busy fool: It is very easy to become very busy doing things that are a huge drain on time but have little or no end value', 'Invest wisely: Don’t invest in anything unless you are prepared to put at least 10 per cent of your net worth into it', 'Save, save, save', 'Know the value of your time']
This 'sad' advice a male VC just gave to women in tech couldn't be more wrong	[In order to combat the misguided notion that the tech industry is only comprised of male leaders, women must share their expertise on social networks so that audiences hear a diverse set of perspectives.]	['pretending that they are men']
23 facts that will totally fuck with your perception of time	"[Cleopatra lived closer in time to the invention of Snapchat than to the construction of the Great Pyramid at Giza., Not only did they not exist at the same time, but the T. rex (which lived 85 to 65 million years ago) became a species about 74 million years after the Stegosaurus died out., In fact, the pyramid was roughly 1,000 years old when the mammoths went extinct completely, which wasn’t until about 1560 BCE., If they made a That ’90s Show and waited the same amount of time after the decade as That ’70s Show waited after the ’70s, the show would be made in 2017., Though they’re often thought of as having lived in very different times, Anne Frank, Barbara Walters, and MLK Jr. were all born in 1929., Pluto didn’t even get to complete one orbit around the sun between the time it was discovered and the time it was declassified as a planet., That means it didn’t even get halfway around during the time it was being called a planet., 23., Since it takes about 50 milliseconds for visual information to process in your brain, by the time you actually ""see"" something, it happened in the past.]"	['1. Cleopatra lived closer in time to the invention of Snapchat than to the construction of the Great Pyramid at Giza.', '2. Also, the Great Pyramid was older to the Romans than the Romans are to us.', '3. Oh, and the Stegosaurus was older to the Tyrannosaurus rex than the T. rex is to us.', '4. The oldest living person was born closer to the signing of the US Constitution than to today.', '5. The 10th president of the United States has two grandchildren who are alive today.']
Scientists say this behavior can make men more attractive to women	[A growing body of research on romantic attraction has focused on the importance of altruism: Men who display helping behaviors are generally perceived as more attractive than those who don't., In a 2013 study on the topic, researchers had young, heterosexual men and women rate pictures of other men and women on how attractive they would be for short- and long-term relationships., Both men and women rated the altruistic people as more attractive for long-term relationships — but women showed a stronger preference for altruism than men did., All the women were asked to rate each man on how attractive he was for a short- or long-term relationship.]	['altruism']
Is It Ethical to Kill Poachers?	[While these rangers are undoubtedly heroes who all too often lay down their lives to protect the animals in their care, some organizations have begun to raise questions about the retaliatory bloodshed, asking if it is ethical or moral for rangers to kill suspected poachers without arrest or trial., Aside from legal strategies, the issue of whether or not poachers should be killed brings up several potential lines of ethical thought, said Anna Peterson, a professor in the department of religion at the University of Florida and the author of Being Animal: Beasts and Boundaries in Nature Ethics.]	['preserving ecosystems to be a just cause, then killing could be justified']
People confess the reasons they regret getting married	[For many people, getting married is both the happiest day of their life and the best decision they've ever made., One woman may simply regret the fact that she married a man, as she confesses: 'I think I'm a lesbian.']	"[""misses 'hooking up with strangers'"", ""treats her 'like a sex toy'"", ""she's 'in love with another man'"", ""his wife is simply 'taking advantage of her'"", ""spouse 'no longer shows any love'""]"
You won't believe what Samir Nasri has done to support Man City ahead of the League Cup final	[Officially, the club are saying it’s because Nasri is showing his support for the club ahead of the Capital One Cup final against Liverpool at Wembley this weekend.]	['dying his hair sky blue']
Vincent Kompany makes OUTRAGEOUS Eden Hazard claim following Belgium's win over Hungary	[If you were to say Eden Hazard had an absolute shocker last season, no one would disagree with you., But things may be on the rise; Hazard has managed to build on the form he started to show towards the end of last season by producing good performances for Belgium at Euro 2016, And all of this has got Vincent Kompany very excited.]	['And all of this has got Vincent Kompany very excited. VERY excited. The Manchester City defender said that the standard of his performance was so good it puts him up there with Ronaldo and Messi.']
How AI could stop those awkward moments when your credit card is mistakenly declined	[It’s an experience many shoppers have had: You’re queued in line at the store prepared to make a purchase only to have your credit card declined for no apparent reason., MasterCard’s new Decision Intelligence software pulls in data, sometimes hundreds of pieces of data, about a specific transaction at the moment a customer swipes his or her credit card.]	['MasterCard’s new Decision Intelligence software pulls in data, sometimes hundreds of pieces of data, about a specific transaction at the moment a customer swipes his or her credit card. The system then combines all of that information to yield a score indicating how likely the transaction is to be fraudulent.']
Here's Why We Wake Up With Gross Eye Gunk in the Morning	[You know, that gunk that you wake up with that's all crusty and gross in the corner of your eye?]	['when we sleep, our blinking stops']
A Bully Pours Super Glue In Her Hair, But What She Does Next Shocks Them All...	[Hannah Combs was talking outside of school with friends one day when a bully came up from behind her and poured super glue on her hair.]	['embracing her new look and wants to use her new platform to help others']
8 things that will be more expensive next month	[1. Cold-Weather Clothing © Provided by Gobankingrates cold weather clothing expensive In July, the cold-weather months seem far away, but as we get into August and to the back-to-school and holiday season, stores start to put out fall merchandise., © Provided by Gobankingrates back to school supplies expensive Not surprisingly, August is a big month for back-to-school shopping., Since retailers know consumers are looking for sales on school supplies during August, it’s not uncommon for them to stock up on lots of shiny new things that are more expensive than your traditional supplies., Theme Park Tickets © Provided by Gobankingrates theme park tickets expensive The summer season is an ideal time for a family to The summer season is an ideal time for a family to head to a popular theme park , but ticket prices are at their highest during these months., Patio Furniture © Provided by Gobankingrates patio furniture expensive The last full month of summer might seem like a good time to buy new patio furniture, but retailers usually wait until September to really drop prices on these goods, according to DealNews., Televisions © Provided by Gobankingrates televisions expensive Deals on televisions are usually scarce during the summer months, and prices are still high on HDTVs in August., Bicycles © Provided by Gobankingrates bicycles expensive August is plenty warm enough to still enjoy outdoor cycling, so it’s typically a bad month to invest in a new bicycle.]	['1. Cold-Weather Clothing', '2. Back-to-School Supplies', '3. Theme Park Tickets', '4. Patio Furniture', '5. Televisions']
Why Women Are No Longer Catching Up To Men On Pay	[Hourly pay has risen more than twice as fast over the past three decades for men working long hours, as employers increasingly reward employees willing to work extra hours with raises or promotions., So as wage gains have gone disproportionately to people working long hours, they have also gone disproportionately to men, widening the earnings divide between men and women overall., But that premium itself isn’t the result of discrimination, explicit or implicit; women who work long hours have seen even faster gains than men (although they still earn less on average)., Rather, the trend contributes to the wage gap because men are so much more likely than women to work those long hours., And even forces that should help close the gap, such as education, have proved insufficient: Women have for decades been more likely to attend college than men — there are now for the first time more female than male college graduates — yet the pay gap is widest among the most educated workers.]	['men are so much more likely than women to work those long hours']
She Pours Listerine Onto Cotton And Dabs It On Her Armpit. Minutes Later? WHOA...	[And while I’ve used several of these bathroom items for surprising health and household hacks — like my ever-useful container of VapoRub — I never thought that my bottle of Listerine was anything more than simple mouthwash... until now., There are actually quite a few unexpected alternative uses for Listerine., Scroll through this exclusive list below to see how many unbelievably creative ways there are to utilize ordinary Listerine., Which of these surprising uses of Listerine will you be trying out at home?]	['underarm deodorant']
She Adopted This Cat From The Humane Society But Had No Idea He Could Do This	[Jingee is a 12 year old cat who was found outside of the Toronto Human Society back in May., The Human Society has been looking for a home for Jingee since may, sending out a video on Facebook to try and find someone to love this cat.]	"['Toronto resident, Hayley Greenberg', ""Jingee's previous owners had taught him how to use the toilet instead of a litter box""]"
@AnnCoulter won't stop ranting about this	[Ann Coulter can’t stop raging against Hispanic voters., Avoiding the approach advocated by folks like Coulter or Schlafly, he spoke some Spanish, supported immigration reform and refrained from ranting against Latinos during interviews with the media.]	['Hispanic voters']
Why a South Carolina man got bail after he shot, buried and ‘slow-cooked’ two people	"[Early in the morning on March 5, James Edward Loftis found himself facing two men in his South Carolina home., Nonetheless, a judge in the case granted bail to the 39-year-old, who faces murder charges for fatally shooting the cab driver, 46-year-old Guma Oz Dubar, and the other man, 32-year-old James Cody Newland., Berkeley County Deputy Solicitor Bryan Alfaro said the prosecution would continue pursuing the case, given Loftis’s inconsistent accounts of whether the men forced their way into the home or whether he let them in — a crucial part of his defense, according to the Post and Courier, because of South Carolina’s ""stand your ground"" law, which grants protection to homeowners who use deadly force against intruders.]"	['acted in self-defense and buried and burned the bodies in a state of panic']
Why has this photo gone viral online?	[A group of men standing around a desk: it is not the typical image that goes viral online.]	"[""The photograph in question was taken on US President Donald Trump's first day in the Oval Office on Monday, when he signed a ban on federal money going to international groups that perform or provide information on abortions""]"
People Don’t Think Biting The Skin Around Their Nails Is Bad... Until They Learn The Horrible Truth.	[Some people are so compulsive with their nail biting that they don’t just damage the nails, they chew past the front of the nail and eat the skin around them.]	['You can get infections in your fingers from the bacteria in your saliva, not to mention the wounds around your nails. In extreme situations, you can even get irreversible nerve damage.']
Is THIS the world's deadliest toxin?	"[Don't panic, but scientists have stumbled across a new substance that may be the deadliest known to man., A new variant of botulinum toxin, ""type H"" is so dangerous that researchers have decided to withhold publishing information about it, over concern it could be used as a bioweapon., C. botulinum has long been known to produce the highly dangerous toxins, giving scientists time to develop antitoxins with which to treat them., Fortunately, the likelihood of an average person randomly encountering the new toxin ""is exceedingly small,"" Hooper told The Huffington Post via email., Dr. David A. Relman, a professor of medicine at Stanford, wrote in an editorial commentary accompanying the initial report, ""Until [a type H] antitoxin can be created, shown to be effective, and deployed, both the strain itself and the [DNA] sequence of this toxin ... pose serious risks to public health because of the unusually severe, widespread harm that could result from misuse of either.""]"	"['botulinum toxin, ""type H""']"
Former RHOBH star Adrienne Maloof 52 explains her 24-year-old BF	"[The former ""Real Housewives of Beverly Hills"" star, 52, opened up to E! News recently about her 24-year-old beau, explaining: ""When you meet someone they don't have a number on their forehead.""]"	"['""When you meet someone they don\'t have a number on their forehead.""']"
FUNBAG! What's better summer sex or winter sex?	[Me and my girlfriend have debated this for a while, and we are both dead set in believing the other is 100 percent wrong: What’s the better time of year for sex, summer or winter?]	['She says that summer is better because the heat makes it feel that much more steamy, summer bodies are great, and you can get fully nude without having to keep any layers on because of the cold.']
"Top conservative challenges GOP to ""declare peace on the safety net"""	"[We have to declare peace on the safety net.""]"	['Arthur Brooks']
17 ways to trick people into thinking you’re cool	"[I mean, it’s pretty fucking cool to claim that your color is ""blue fog."", 3. Take care of your skin because if it glows, people will pay attention to you., If you’re having people over, stock up on coffee table books that actually interest you., Or, learn how to throw a great party without pretentious fluff with the book on the right for $17., 17.]"	['1. Get better at a skill that you can share with others.', '2. If you don’t want to invest a lot of time in coordinating contrasting colors in your home or closet, just stick with one.', '3. Take care of your skin because if it glows, people will pay attention to you.', '4. Find something you love about yourself and show it off like every atom in the universe needs to see it.', '5. If you’re having people over, stock up on coffee table books that actually interest you.']
What happened when a professor built a chatbot to be his teaching assistant	[While he doesn’t foresee the chatbot replacing teaching assistants or professors, he expects the chatbot’s question-answering abilities to be an invaluable asset for massive online open courses, where students often drop out and generally don’t receive the chance to engage with a human instructor.]	['Now Goel is forming a business to bring the chatbot to the wider world of education.']
Watch as a romantic waterfall wedding proposal goes horribly wrong	[Then, in a flash, the ring was gone, falling into the cold waters below.]	['in a flash, the ring was gone, falling into the cold waters below']
Ever Wondered What These White Lines On iPhones Mean?	[Now, this White lines trend was started by Apple with the iPhone 6 and 6 Plus.]	['Antenna Bands']
Do you need a gym nanny to make you exercise (and we don't mean a trainer)?:	[Now, in exchange for legal tender (U.S. dollars), you can hire a gym babysitter, described as a trainer by a fitness concierge service called SIN (Strength in Numbers).]	"[""Martin says this is perfect for modeling agencies, high-profile clients who don't want to give away personal information as they book appointments, or people who find excuses not to do things they don't want to do (the rest of the world).""]"
The names of the women 'most likely' to get pregnant in 2017	[These are the women most likely to get pregnant next year - according to some highly scientific methodology:]	['1. Jessica', '2. Amy', '3. Jade', '4. Rebecca', '5. Charlotte']
Guess what Mark Zuckerberg wore on the new Vanity Fair cover	[Mark Zuckerberg is on the cover of the October issue of Vanity Fair, in a portrait taken by legendary photographer Annie Leibovitz.]	['grey tee and blue jeans']
Filming The Newest Game Of Thrones Was Way More Brutal Than It Looked	[Spoilers for Season Six Game of Thrones!, Finally, after teasing the confrontation all season, last night’s episode of Game of Thrones saw Jon Snow face off against the vile Ramsay Bolton., The two Northerners battled in the courtyard of Winterfell, after the largest and most brutal battle in Thrones history, and Jon ended up beating the bastard into a bloody pulp.]	['Kit Harington admitted during filming he may have got a bit too in character accidentally hitting Iwan not once but twice while miming his punches']
BBC Micro Bit computer becomes a commercial product	[Image caption The Micro Bit will be more than double the price of the Raspberry Pi Zero mini-computer, The BBC Micro Bit, the tiny computing device designed to get children coding, is going on sale to the general public., Commercial availability of the Micro Bit follows the signing of a licensing deal with the device's manufacturer, the Leeds-based company, element 14., The Micro Bit was meant to be the flagship of the BBC's Make It Digital season last year but suffered a number of delays., Element 14 tells me it is paying a licensing fee for the use of the BBC and Micro Bit brands - but that all of that money will be going to a charitable trust with the aim of providing an educational legacy.]	['£12.99']
New Battle Brews Over Bundy's Cattle In The Nevada Desert	"[Rob Mrowka, a scientist with the Center for Biological diversity, said the Bundy cattle are essentially ""feral,"" roaming at will over hundreds of thousands of acres — including far outside the range where long ago they were permitted., (Bundy stopped paying his grazing fees in 1993, meaning the cattle were technically trespassing anywhere on public land after that point.), Bundy is currently behind bars awaiting trial after being arrested in February at Portland airport on charges stemming from his role in the tense 2014 standoff with federal officials near his Nevada ranch., Cliven Bundy’s lawyer Joel Hansen told BuzzFeed News that there are still cattle on the range, and that ranching operations are being run by Bundy’s wife and other women in the family while the rancher awaits trial.]"	"['Rob Mrowka, a scientist with the Center for Biological diversity, said the Bundy cattle are essentially ""feral,"" roaming at will over hundreds of thousands of acres — including far outside the range where long ago they were permitted. (Bundy stopped paying his grazing fees in 1993, meaning the cattle were technically trespassing anywhere on public land after that point.)']"
10 things you need to know before the opening bell	[Here is what you need to know., Sears reports ahead of the opening bell while Broadcom and Restoration Hardware release their quarterly results after markets close.]	"['US stocks are at all-time highs.', 'The ECB meets on Thursday.', ""China's economy is bouncing back."", ""Japan's Final Q3 GDP was revised sharply lower."", 'Banks are moving to Paris.']"
Here's Why This Guy Is One Of Tinder's Most Right Swiped Men	[Meet Andy Mizrahi a 28-year-old divorcé who also happens to be the most swiped right bloke in New Jersey on Tinder.]	['Andy Mizrahi', 'being handsome, charismatic and funny']
This company wants to solve all your scanning and filing problems	[Ripcord, a startup backed with a $9.5 million funding round led by Kleiner Perkins Caufield & Byers, has created a machine its founders think is key to solving a huge problem faced by companies as they try to access data that hasn’t made it into the information age – billions of boxes of paper files.]	['Ripcord']
200-foot sinkhole swallows 12 buildings	[A sinkhole nearly 200-foot wide in China's Sichuan Province has swallowed at least 12 buildings and is expected to keep growing.]	['Guangyuan, Shanghai']
Antibiotics will soon 'stop working'	"[Urgent action is needed to control the use of antibiotics before they cease to work, leaving a number of major conditions untreatable and causing ""terrible human and economic cost"", a major study has warned., Resistance to antibiotics is growing at such an alarming rate that they risk losing effectiveness entirely meaning medical procedures such as caesarean sections, joint replacements and chemotherapy could soon become too dangerous to perform., Antibiotics act to kill or inhibit the growth of bacteria, stopping infections.]"	['Resistance to antibiotics is growing at such an alarming rate that they risk losing effectiveness entirely']
There was one very important thing missing from the Marco Rubio pancake breakfast:	"[LONDONDERRY, NEW HAMPSHIRE—Three clarifications from Marco Rubio's pancake breakfast Sunday morning., ""It's the Marco Rubio pancake breakfast—so far we've had no pancakes and no Marco Rubio,"" joked Bob Durant, a Rhode Island lawyer who was political touring with his family and friends.]"	['pancakes']
You’ll never believe how much Kim Kardashian’s morning skincare routine costs	[You’ll never believe how much Kim Kardashian’s morning skincare routine costs, You’ll never believe how much Kim Kardashian’s morning skincare routine costs More, The post You’ll never believe how much Kim Kardashian’s morning skincare routine costs appeared first on HelloGiggles.]	['$1,230']
Who’s The Biggest Khan In Bollywood? He Is	[Salman is a bigger star than me., I think Shah Rukh is a bigger star., Amitabh ji is a bigger star., When Salman enters it looks like a big star has entered., So Salman and Shah Rukh are bigger stars than I am., I also feel they are bigger stars than me.]	['Salman']
Is there a better way to observe Veteran's Day?	[On Memorial Day, some people observe the national one-minute Moment of Remembrance at 3 p.m., which was passed into law by Congress in 2000., And, as in the U.K. and Canada, the Veterans of Foreign Wars (VFW) distributes poppies on Veterans Day and Memorial Day so that people can publicly commemorate the fallen., From 1989 until his passing in 2012, Senator Daniel Inouye of Hawaii, a World War II veteran, repeatedly introduced resolutions to return Memorial Day to its traditional date—and, by proxy, its original intent., Separately, two bills have been introduced in Congress in the last two years alone—one to establish two minutes of silence on Veterans Day, the other to do the same on Memorial Day., Neither bill has been passed, although the one for Veterans Day has since been revised as an amendment to the National Defense Authorization Act.]	['Senator Daniel Inouye of Hawaii, a World War II veteran, repeatedly introduced resolutions to return Memorial Day to its traditional date—and, by proxy, its original intent']
Ideas about how to bridge the gender gap on pay.	[The gender pay gap widens a few years later when women start having children.]	['Men are paid more partly because they’re much more likely to ask for it.', 'makes offers based on what a job is worth', 'Make Work Easier for Mothers', 'Build More Flexible Workplaces', 'Change the Law']
