titre;phrase(s);spoiler
Beloved TV cartoon character races onto game consoles;[The beloved Latin American character from the TV series "El Chavo del Ocho" will appear in the new racing video game, "El Chavo Kart," for Xbox 360 and Playstation 3 this year, according to the Associated Press., The new game, which the network announced this week, will be also be based on the cartoon series and will include all 12 characters with their respective race karts.];['El Chavo']
How many millions did The Interview make online this weekend?;[(UPDATE: Variety reports that The Interview made over $15 million in online revenue over the weekend.)];['$15 million']
Famous crime writer's home is up for grabs...interested?;[When famed crime novelist Elmore Leonard passed away in July at the age of 87, readers and moviegoers alike mourned the author of titles like "3:10 To Yuma," "Get Shorty," and "Rum Punch" (later filmed by Quentin Tarantino as "Jackie Brown)., A writer could find inspiration sitting in the study where he wrote his novels, and a writer on a budget might find inspiration just by looking at photos of where Leonard lived and worked., The home offers an insight into Leonard's mind, she thinks: fun-loving, yet meticulous and methodical., Located at 2192 Yarmouth Rd. and listed through Hall & Hunter Realty of Birmingham, Mich., the home is a French Regency stunner with five bedrooms, four full baths and three half baths.];['Elmore Leonard']
This island paradise is slowly being consumed by nature;[Human activities can alter the face of the planet in just a few short years, but it comes as a bit of a surprise when nature decides to reclaim itself even faster., Take the island of Monserrat., No one was injured and a few residents returned to their homes on the island, but another eruption in 1997 killed 19 people., Today, half of the island is abandoned and some of the buildings are still partially buried., The island's airport reopened in 2005 after it was destroyed a decade earlier, and the still-active volcano and ruined town have turned into quite the tourist destination.];['island of Monserrat']
Guess how much money Bill Gross made last year? Exclusive by @ritholtz:;[According to documents provided to Bloomberg View by someone with knowledge of Pimco's bonus policies, the numbers break down like this: Gross earned $290 million as his year-end bonus for 2013., (At least it did, until recent bad bets on rising interest rates by Gross torpedoed the 1-, 3- and 5-year record of the flagship Total Return Fund.), Janus, Gross's new home, has managed to attract only about $430 million in new money since he joined.];['$290 million']
Skinny Jeans May Look Great But It Could Do This To Your Body. Shocking!;[Here is one such story of an Australian girl whose only mistake was putting on a pair of tight skinny jeans!, A 35-year-old woman in Melbourne, Australia collapsed after her pair of skinny jeans stopped the blood flow in her calf muscles!, So, ladies, next time you put on those tight skinny jeans, avoid squatting and sitting for prolonged hours or you might end up in hospital!];['A 35-year-old woman in Melbourne, Australia collapsed after her pair of skinny jeans stopped the blood flow in her calf muscles!']
Ticking time bomb;[At December's Global Diabetes Summit in Berlin, Dr Sanjay Kalra and his colleague Dr Ashok K Das delivered a speech where they called Type 2 diabetes "a ticking time bomb for India".];['Type 2 diabetes']
Something Makes This Grandmother Run Out in the Rain...When You See Why, It Will Make You Cry!;[The 4-minute film, narrated from the perspective of the old woman, shows a bunch of people sheltering from the rain when a confused little girl asks her mother ‘why can’t they run through the rain’., But then the little girl says something so profound that it changes the mother’s mind and the two do exactly what the sweet girl wanted to do – They RUN through the RAIN..., Watch the amazing video and remember, next time it rains, run out in the rain and get a little wet.];['the little girl says something so profound that it changes the mother’s mind']
Blue Angel pilot decided not to eject to do something incredibly heroic;[We told you earlier today that a Blue Angel fighter jet crashed in Tennessee., We saw some initial reports that the pilot may have purposely not ejected in order to save lives of people on the ground., Specifically it looks like the pilot made sure the plane didn’t crash into an apartment building which involved waiting to eject.];['pilot made sure the plane didn’t crash into an apartment building']
Six of the last seven times this happened, stocks rose;[In the last seven years in which the S&P 500 rose in each of the first three quarters, only in one of them — 2007 — did the index drop in the fourth., Actually, when one looks at the entire performance history of the S&P 500 going back to 1928 (which is available despite the fact that the index was technically created in 1957) one finds that out of the 19 years in which the market rose in the first, second and third quarters, a negative fourth quarter only followed five times., However, it is also the case that the fourth quarter just happens to be better for investors in general; the market rose in 73 percent of fourth quarters, and actually turned out a better median performance of a 4.5 percent gain., The fact that 2016 has been a good year so far is therefore a reason to bet that stocks will rise, he concludes.];['the S&P 500 rose in each of the first three quarters']
Why Rio ratings are terrible;[Critics and social media have savaged NBC ’s early coverage of the Rio Olympics — and the early ratings verdict from Nielsen has not been any kinder., The first sign of trouble for NBC ’s Rio ratings came Saturday morning, when data for Friday’s never-ending opening ceremony came in., It’s also far too early to declare Rio any sort of ratings disaster.];['far too early to declare Rio any sort of ratings disaster']
This herb could be the secret to curbing cows’ climate-changing burps;[Oregano may seem like an unlikely ingredient in the fight against climate change., But this modest herb could make cows’ methane-heavy belches — a big contributor to the warming of our planet — a little less potent.];['Oregano']
O.J. Simpson allegedly had an affair with this 1980s music video vixen;[O.J. Simpson allegedly had an affair with Tawny Kitaen.];['Tawny Kitaen']
And the richest state in the country is...;[In 2012, Maryland remained the richest state in the country, with a median household income of $71,221.];['Maryland']
The secret reason so many men go to the gym;[For millions of men, going to the gym is a daily ritual., It shouldn’t come as much of a surprise then, that a newer study has revealed such body image issues are spurring millions of men to hit the gym — even though many would probably never admit it., Specifically, it’s "men’s hidden fears about body fat" that are driving gym attendance, according to a team of researchers from the University of Lincoln (U.K.) and Australia’s Curtin University.];['body image issues']
Here’s The ‘No. 1’ Thing You Didn’t Know About Katy Perry;["Katy Perry kept joking on set, calling herself ‘No. 1’ on the call sheet," Akana explained.];['Katy Perry kept joking on set, calling herself ‘No. 1’ on the call sheet']
Country singer delivers EPIC slam to Westboro Baptist Church protesters;[Country singer Vince Gill isn't afraid to confront the Westboro Baptist Church head-on, and that's exactly what he did when members from the hate group decided to protest his Missouri concert over the weekend.];['Vince Gill']
Are Shorter Work Days Better For Your Health &amp; Productivity?;[An ongoing study out of Sweden seems to indicate that a shorter work day may actually result in more productivity.];['An ongoing study out of Sweden seems to indicate that a shorter work day may actually result in more productivity.']
He Tackles A Nurse At The Hospital. Then You See What's On The Floor Next To Them...;[So, when his buddy Danny Kolzow, a 23-year-old nurse at Baylor All Saints in Fort Worth, TX, found himself in need of a kidney, McMillan didn’t hesitate to find out if he could donate one of his., In this emotional clip, McMillan walks into the hospital where Kolzow works.];['So, when his buddy Danny Kolzow, a 23-year-old nurse at Baylor All Saints in Fort Worth, TX, found himself in need of a kidney, McMillan didn’t hesitate to find out if he could donate one of his.']
Why you SHOULD be selfish at work;[And in the workplace putting your needs before those of your colleagues is often seen as selfish behaviour., But new research says being selfless at work can backfire., They believe that selflessness at work leads to exhaustion, and ironically often hurts the people you intended to help., 'When they don’t protect themselves, their investments in others can cause them to feel overloaded and fatigued, fall behind in their work goals, and face more stress and conflict at home', they said., 3. Don't be afraid to refer work to other people when you don't have time., c. Tell Alex that it's nice that he wants to help Juan, but he really needs to focus on his own work in order to catch up., Their work shows it's about balancing time so when you help other people you don't set yourself back in the process.];['They believe that selflessness at work leads to exhaustion, and ironically often hurts the people you intended to help']
The bizarre new way to eat eggs that has everyone going crazy;[Cured egg yolks are delicious—but strong., For an umami boost, try grating them just like cheese over pasta, salads, avocado toast, popcorn, or even scrambled eggs., Even better if you're raising chickens at home and have your own fresh eggs on hand., Separate 4 egg yolks, saving the whites for another use., Carefully place each egg yolk on top of the salt-sugar mixture, and gently sprinkle the yolks with the rest of the salt-sugar mixture., (This photo shows the eggs before they were completely covered., 3. Remove the egg yolks from the fridge after 4 days., Use a pastry brush to gently brush the salt-sugar mixture off of the egg yolks., At this point, the eggs yolks should be semi-firm and look sort of like dried apricots., *In case you missed the memo, egg yolks are totally good for you., And even though egg yolks are high in cholesterol, for most people, consuming dietary cholesterol doesn't increase your blood cholesterol.];['Cured egg yolks']
The perfect playlist to listen to on "Star Wars" Day;[Sunday, May 4, is "Star Wars" Day (aka May the Fourth Be With You), which means it's as good a time as any to listen to the film's iconic John Williams music.];['iconic John Williams music']
The Annoying Question No Mom Wants to Hear When She Goes on Vacation;[But what was perhaps the most baffling part of the whole thing was the one question I was asked again and again from fellow moms: "Who is watching your kids?", But as a married mom whose husband has an equal hand in raising our brood to adulthood, it's quite astonishing to be asked that question again and again.];['"Who is watching your kids?"']
The salsa legend behind the Google doodle;[Google celebrated what would have been Celia Cruz's 88th birthday Monday with a doodle honoring the Cuban singer who rose to international stardom as one of the world's greatest salsa singers., Thank you, Google, for dedicating today's Doodle to one of salsa's greatest singers.];['Celia Cruz']
Just how much US debt does Saudi Arabia own?;[Saudi Arabia holds roughly $117 billion of the U.S. government’s debt, according to Treasury Department data that disclosed the country’s holdings for the first time in over 40 years., The $116.8 billion Saudi Arabia owns puts it in the top 12 foreign nations with holdings of U.S. debt, falling between India and Singapore.];['$117 billion']
In the Digital Age, is shopping America's new religion?;[Her solo show " Black Friday ," which opens at New York's Whitney Museum of American Art on July 26, will comprise over 100 new videos, screened on a series of broken or rejected consumer electronics., The title, Al-Maria says, is in part a reference to the American "national holiday of shopping," but also a nod to the holy nature of Fridays in Islam., The exhibition "posits the thought that shopping malls have become a kind of replacement for religious structures in our contemporary consumer society," she says., Exemplifying of a new generation of creative polymaths, the writer-filmmaker-artist has produced photos, directed films, written articles and screenplays, and published a critically acclaimed memoir, "The Girl Who Fell to Earth.", More than anything, Gulf Futurism is perhaps an investigation into some of the more negative aspects of a hyper-connected digital society that can sometimes be a lonely place -- a perspective Al-Maria describes as "techno-pessimistic.", Born in 1983, she describes herself as an early digital native, part of the first crop of millennials., While the rise of the Internet was a key aspect of her formative years, her work often deals with the isolating nature of the digital space., While much time is spent thinking of digital art as forward thinking and innovative, the cost of this innovation may be a reduced life span for the artworks, which have used the technological tools available to them in their time.];['The title, Al-Maria says, is in part a reference to the American "national holiday of shopping," but also a nod to the holy nature of Fridays in Islam.']
Hold up, are Denmark and Sweden trying to start WWIII?;[Police in western Sweden initially thought a man whose car was stuck in the snow was Danish, but after a while they realized he was slurring his words because he was drunk.];['Police in western Sweden initially thought a man whose car was stuck in the snow was Danish, but after a while they realized he was slurring his words because he was drunk.']
Why Americans think we are having stronger storms;[Most Americans think climate change, and more frequent and severe natural disasters are linked, according to a new HuffPost/YouGov poll that also finds most think human activity is at least partially responsible for the changing climate., According to the new poll, conducted after Typhoon Haiyan devastated the Philippines earlier this month, 55 percent of Americans think climate change is related to more frequent and severe natural disasters, while only 23 percent do not., The poll shows that the vast majority of Americans think humans are contributing at least somewhat to climate change, but differ on just how much., In total, 70 percent of respondents said they think human activity is having at least some impact on climate change., The poll finds that 28 percent of Americans think Typhoon Haiyan specifically was caused by climate change.];['climate change']
Is the NES Classic Edition available for pre-order?;[Unfortunately, the NES Classic Edition is not available for pre-order just yet.];['not available for pre-order']
One of the biggest ways college students are ripped off is getting out of control;[College affordability has recently become the preeminent issue in higher education, as student-debt figures have hit staggering levels., But most conversations center on ballooning tuition costs, rather than a less well-known expense that strains the wallets of college students: textbooks., The US Public Interest Research Group (US PIRG) conducted a survey of 156 different college campuses across 33 states and found that 65% of students decided against buying a book required for class due to its high cost., "[Students] can't shop around and find the most affordable option, meaning there's no consumer control on the market," Senack said.];['textbooks']
The weirdest city in America;[And THEN there's Austin, Texas, hands-down one of the quirkiest, funkiest, weirdest cities in the United States., Austin is better described as the funky city that locals wanna "keep weird."];['Austin, Texas']
Scientists accidentally discover a new color, and it's beautiful!;[Although the scientists were actually looking at manganese oxide for some of its electronic properties, one of their reactions inadvertently birthed a new pigment: the catchily named "YInMn blue."];['"YInMn blue."']
Popular country singer's tour bus strikes and kills pedestrian;[Country crooner Jason Aldean has found himself in unfortunate circumstances after a tour bus carrying the "Dirt Road Anthem" singer ran over a pedestrian early Monday morning in Knox County, Indiana.];['Jason Aldean']
We Calculated How Long It Would Take to Do Everything BuzzFeed Tells You to Do Before You Die;[Could you actually check everything off the BuzzFeed bucket list, and if so, how long would it take?, First, I had to compile all of the lists BuzzFeed has published in its "Before You Die" format., So I decided to calculate the travel time that it would take to work your way around the world, in an order most efficient for accomplishing each of the BuzzFeed tasks., I also factored in how long it took me to calculate the trip—around 40 hours in total—and how long it would take to actually book the flights, hotels, and day-trips, which would be possibly twice that., In conclusion—drumroll, please—I determined it would take 1,448.7 days to do everything that BuzzFeed says you need to do before you die.];['1,448.7 days']
Russell Wilson Refuses to Listen to Drake Before Games;[Russell Wilson is just about one of the most humble people you could ever meet., Before a game, I’m always listening to gospel music., So you’re not listening to Drake, Eminem, or anyone like that before kickoff?, Before a game, I’m always listening to gospel music.];['Before a game, I’m always listening to gospel music.']
You won't believe why ESPN said they hired Jordan Rodgers;[The former Vanderbilt quarterback is set to appear on the SEC Network as a college football analyst this season, and an ESPN executive says Rodgers earned the role on his talent alone., "I’ve been doing broadcasting for the past year — doing radio for ESPN and doing some TV stuff here and there — and I’ll be working with ESPN and SEC Network as a college football analyst," Rodgers said.];['Rodgers earned the role on his talent alone']
The 'Netflix tax' is starting...but WHERE?;[Watch out: The "Netflix tax" is coming., The state legislature there recently extended its 6 percent sales tax to digital downloads and subscription services like Netflix and Hulu., Though it's called the Netflix tax, colloquially at least, the fee will also apply to streaming and downloads for music, e-books and apps., Netflix even battled in Kentucky over telecommunications taxes there, a way some states have tried to tax digital services without imposing a sales tax., So if you want to avoid the Netflix tax, borrow a billing address outside the state., At least until the Netflix tax comes for us all, that is., Pennsylvania is taxing netflix spotify and apple music., Amazon avoided charging sales tax for years before starting to charge it in some locations.];['Pennsylvania']
Giant Whales Found Dead In Germany. You Won't Believe What Killed Them;[As of January 29th, just on the shores around the North Sea, sperm whales were found stranded in the shallow area that is not meant for marine wildlife., Scientists were very concerned and deeply disturbed as to what they found inside the unfortunate whales., Wadden Sea National Park located in Schleswig-Holstein, shows that many of the stranded whales stomachs were actually filled to the brim with plastic debris, which includes a 70 cm piece of plastic known to be apart of a car, a 13-meter-long fishing net, and a variety of other plastic debris that was found as well., The press release that was given fromlocated in Schleswig-Holstein, shows that many of the stranded whales stomachs were actually filled to the brim with plastic debris, which includes a 70 cm piece of plastic known to be apart of a car, a 13-meter-long fishing net, and a variety of other plastic debris that was found as well.];['plastic debris']
The biggest mistake you're making in the bathroom;[We should be doing more of it throughout the day, but it's our bathroom handwashing habits that have been carefully studied -- and they are disgusting., The simple step is something many consider unnecessary in communal spaces, from your office restroom to bar bathrooms., When researchers hid in a public restroom in a Michigan college town, they reported that 10 percent of people didn't wash their hands after using the bathroom, and nearly one in four just rinsed with water., Michael Sykes, founder of the humor site the International Center for Bathroom Etiquette, says that the act of peeing is so easy for men that it may not register as a way of spreading germs., "Men don't have to do much more than unzip their pants to take a pee, and they might simply feel like going to the bathroom is so insignificant as to not even merit a hand washing," he writes to HuffPost in an email., Seventy percent of people confessed to sometimes rinsing without soap, and 81 percent said they had witnessed a "non-washing event" in a public restroom within the past year, according to a 2013 survey by Bradley Corporation, which happens to be a manufacturer of bathroom products., Again, men were the grossest offenders: Only 60 percent said they always washed their hands after using a public bathroom, compared to 74 percent of women.];['handwashing habits']
"Empire" star comes out of the closet;["Empire" star Jussie Smollett opened up about his sexuality for the first time in an intimate interview with Ellen DeGeneres.];['Jussie Smollett']
The One Thing You Should Never Do With Your Boarding Pass;[You've got your boarding pass., So you snap a picture of your boarding pass and post it to Facebook., Because the information printed on your boarding pass actually reveals a lot more than you think., As explained via a recent blog post by KrebsonSecurity, there are websites that can read the barcodes on your boarding pass and provide someone else access to your travel information--your phone number, frequent flyer number, and information not only about the flight in question but also all future flights booked through the same number., With access to your boarding pass, someone could even change your seat on the plane, cancel any future flights, and reset your account PIN number., The takeaway here: Don't post pictures of your boarding pass on social media.];['post pictures of your boarding pass on social media']
You won't believe who Usain Bolt says is his biggest inspiration;[The world's fastest man, nine-time Olympic gold medalist Usain Bolt, gave a very surprising shoutout to one of the world's most popular comedians in a live Q&A on Facebook., "Now, surprisingly, Kevin Hart is one of my biggest inspirations because he's always working out., Bolt also said he was very nervous about meeting Beyonce.];['Kevin Hart']
Guess how much rent Katie Holmes is paying for her swanky New York penthouse:;[The lady property gossip at the New York Post reports that actress Katie Holmes has secured a modern-minded and fully furnished penthouse rental in New York City’s centrally located Chelsea nabe at a rate of $25,000 per month.];['$25,000 per month']
A University Recognizes a Third Gender: Neutral;[It might seem a simple turn of events, but adding gender-neutral options to the University of Vermont’s information system took nearly a decade of lobbying, the creation of a task force of students, faculty members and administrators, and six months and $80,000 in staff time to create a software patch.];['University of Vermont']
Can athletes be vegans?;[Can athletes be vegans?, You can take comfort, too, in the science about vegan athletes, which generally shows that, as one recent scientific review concludes, "a vegan athlete can compete effectively at a high level.", Vegan athletes do need to be diligent about consuming sufficient protein, said Nancy Clark, a sports nutrition expert in Massachusetts and the author of "Nancy Clark’s Sports Nutrition Guidebook.", Vegan athletes, like the bodybuilder Kenneth Williams, below, also may require supplements of B12, a vitamin found only in meat, and possibly of calcium, she said, especially if they are young and growing.];['a vegan athlete can compete effectively at a high level']
Can You Guess The Indian Cricketer Who Is Totally Rocking His Beard Game? I Couldn't.;[Turns out, our very own captain MS Dhoni is totally owning the dapper cool look as a father with his daughter Ziva sitting on his lap!, Guess!!, He is totally killing it with the bearded look and thank god the daughter doesn’t realize how he looks, or else she would have made a disapproving and embarrassed face we all make when our fathers try too hard to be cute., M S Dhoni is certainly spending quality time with his family as he takes a break from ODIs as the Indian cricket team prepares for their series with West Indies.];['MS Dhoni']
Meryl Streep Marries;[Meryl Streep's Shock Plans to Marry Co-star Robert Redford!, Shape Magazine - Meryl Streep and Robert Redford shock the world with plans of getting married after years of keeping their relationship a secret., Meryl Streep tells GH editors "Robert and I have never stopped loving each other, ever since meeting on the set of Out of Africa, our careers just got in the way., At 67, it seems like Meryl Streep has stopped aging., Meryl Streep came on the show & went into detail on the products Dr.Oz has her use & how it has saved her career., Meryl Streep credits Neuphoric Anti-Aging Cream for helping her look young.];['Shape Magazine - Meryl Streep and Robert Redford shock the world with plans of getting married after years of keeping their relationship a secret.']
Country files legal proceedings against Russia over Greenpeace arrests;[AMSTERDAM, Oct 4 - The Netherlands launched legal proceedings against Russia on Friday, saying it had unlawfully detained Greenpeace activists on a Dutch-registered ship for protesting against oil drilling in the Arctic.];['Netherlands']
This Woman's Response To People Who Shamed Her Engagement Photos Is Too Perfect;[In response, Tetteh continued posting photos to her account, along with perfect messages for her critics.];['continued posting photos to her account, along with perfect messages for her critics']
Target impresses with new designer collaboration;[The best news out of London Fashion Week this fall was that Peter Pilotto would be bringing his colorful prints stateside for a collaboration with Target.];['Peter Pilotto']
Xbox One's Terraria Facing This "Serious Issue";[A new update for the A new update for the Xbox One version of Terraria has caused a "serious issue" that makes the game's online multiplayer unplayable., "We are sorry to confirm that a serious issue exists in the Xbox One Terraria update that was published on July 6, version KTCP-20160531," 505 said ( "We are sorry to confirm that a serious issue exists in the Xbox One Terraria update that was published on July 6, version KTCP-20160531," 505 said ( via VideoGamer.com ).];['online multiplayer unplayable']
The Simple Way To Banish Stinky Garlic Breath;[Researchers from Ohio State University found that the best foods to banish garlic breath are raw apple and raw lettuce, the Huffington Post reports.];['raw apple and raw lettuce']
This guy just won the 2014 Name of the Year contest. He totally deserves it:;[Shamus Beaglehole Wins 2014 Name of the Year Contest];['Shamus Beaglehole']
You probably won't guess what Walmart's biggest Black Friday seller was:;[One small note: NBC's headline, which claims the store's "hottest Black Friday seller was a 29-cent towel," is a little misleading.];['towel']
Major retailer plans to lower prices this spring;[A representative at J. Crew clarified Drexler's remarks to The Huffington Post, stating that the retailer will not in fact be lowering their prices.];['J. Crew']
Peter Dinklage's voice-over work on this video game is pretty unbearable;[Peter Dinklage’s voice-over work in the upcoming shooter game "Destiny" has not been well received.];['shooter game "Destiny"']
Do You Know What The Apple Logo Actually Looks Like?;[Then they had to choose from a selection of altered logos like the ones in the quiz you just took., "Only 1 participant out of 85 correctly recalled the Apple logo, and fewer than half of all participants correctly identified the logo," the researchers wrote.];['Only 1 participant out of 85 correctly recalled the Apple logo, and fewer than half of all participants correctly identified the logo']
Legendary Mexican singer falls off stage during anniversary concert;[During a concert celebrating his 50 years in music, Mexican crooner José José tried to greet a fan at the side of the stage when he suddenly fell nearly five feet into the crowd.];['José José']
Here’s how much every country would have to pay to stop climate change;[Worldwide, developed nations would have to pay more than $1.1 trillion annually to developing nations on top of massive emission reductions to keep climate change in check.];['Worldwide, developed nations would have to pay more than $1.1 trillion']
Can "wax" help save endangered mammals?;[Wax inside a whale’s ear stores all sorts of useful information on the animal’s exposure to pollutants and stress levels throughout life, researchers have found., But it also records time — similarly to the rings of a tree, the wax is laid down in light and dark bands, with each band correlating roughly to a six-month period., Maternal transfer of pollutants is known to happen in other mammals, such as seals and humans.];['Wax inside a whale’s ear stores all sorts of useful information on the animal’s exposure to pollutants and stress levels throughout life']
Former NBA player reportedly drowns after tripping and hitting his head near his pool.;[Jackson Vroman, the former NBA player who was found dead at his Los Angeles home Monday morning, drowned in his pool after tripping and hitting his head, according to Vroman’s close friend, the Instagram celebrity Dan Bilzerian.];['Jackson Vroman']
MIT researches can read a book without opening the cover;[Researchers from the Massachusetts Institute of Technology (MIT) have developed a prototype imaging system that’s able to read pages of a book without opening it.];['Researchers from the Massachusetts Institute of Technology (MIT) have developed a prototype imaging system that’s able to read pages of a book without opening it.']
What State Has the Worst Drivers;[When ordinary conversation turns to driving, many are quick to declare drivers from their state the worst., It's logical to think that states with notoriously bad traffic would produce some of the nation's rudest commuters, and while states like New York, New Jersey and the District of Columbia fall in the top 10, the state with the absolute rudest drivers is tucked away in the Rocky Mountains: Idaho.];['Idaho']
Mother’s pork joint looks like something quite different;[A hungry mum-of-one got a shock when the pork loin she defrosted looked just like a penis.];['penis']
How the legal drinking age of 21 actually saves lives;[Laws that maintain the legal drinking age at 21 save lives on the road, and protect young people from other hazards of drinking, according to a new review of studies.];['save lives on the road, and protect young people from other hazards of drinking']
This state has more #marijuana shops than Starbucks or McDonald's.;[Weed shops in Oregon are so plentiful that they top the total number of McDonald’s or Starbucks in the state.];['Oregon']
We totally weren't expect this from the Romneys;[Craig and Mary Romney may have been in the political eye for a while, but today we're focusing on the duo's incredible eye for design., Blogger Aarean from "Color Issue" posted a gorgeous house tour of the Romneys' home that you really have to see to believe.];['incredible eye for design']
Mom Reveals Chilling Message 1 Year After Snapping Photo Of Daughter’s 1st Day Of School;[Julie Apicella lost her beautiful girl Emily after a three-year battle with cancer, and while this amazing mother got the chance to get a photo of her little girl’s first day of school back in 2015, when it came time to do the same thing the next year it was too late.];['cancer']
A sure way to get rid of dry flaky skin;[I grimace whenever I look into the mirror and see cracked, flaky skin looking back at me., And my eyebrow threading lady rolls her eyes as I lie back in her chair before saying for the millionth time, "Your skin is so dry.", Dry skin be damned with this moisturizer., 1 of 6 Choose Cream Over Lotion "The best way to fix and protect winter skin is to seal it and heal it," Krant says.];['Moisturizer']
Can Linux ever beat Windows at PC gaming?;[Can Linux ever beat Windows at PC gaming?, There’s a clear winner here, and unless Linux rectifies its performance disparity, lack of natively supported control options and impoverished game library, the OS to beat for PC gaming will remain Windows 10.];['There’s a clear winner here, and unless Linux rectifies its performance disparity, lack of natively supported control options and impoverished game library, the OS to beat for PC gaming will remain Windows 10.']
This state is the most magical place in America;[Maybe these 19 reasons will prove that Colorado is the most magical state in America.];['Colorado']
Your Old Passport Will Be Replaced With Smart E-passport, Here Is Everything You Need To Know;[New generation e-passport featuring enhanced security features such as bio-metric details may soon be rolled out by the government., Minister of State for External Affairs V K Singh said in the Lok Sabha that the government was in the process of procuring devices for e-passport., What is E-Passport?, An e-Passport contains an electronic chip., It is also known as biometric or digital passports., The e-passport is likely to secure the data and curb the menace of fake passports., 93 out of 193 UN member states are issuing e-passports., "The Government has plans to issue e-passports to the citizens., The Government has given its approval for procurement of electronic contact-less inlays for manufacturing of e-passports to India Security Press (ISP) Nasik.];['New generation e-passport featuring enhanced security features such as bio-metric details may soon be rolled out by the government.']
This U.S. city will soon have the nation's most-taxed cigarettes;[Chicago's per-pack cigarette tax will be 31 cents higher than New York City’s $6.86 per pack making them the priciest cigarettes tax-wise in the nation.];['Chicago']
The "sexy lie" we should all be talking about;["I am here today to talk about a lie.", "I'd like to talk specifically about the lie, or the idea, that being a sex object is empowering."];['being a sex object is empowering']
Sadly, This Is The Top Vegetable 1-Year-Olds In America Eat;[And yet the vegetable American toddlers are most likely to eat is a french fry., "The most devastating part is when you are 2 years old and younger, you don’t have a lot of control over your life," she said.];['french fry']
This Woman Crashed Her Car, The Reason Why Is Pretty Ridiculous;[According to Gomez, the reason why she crashed her car, whilst travelling from Cali to the city of Pereira, was because she got distracted by her own ‘erotic thoughts.’];['got distracted by her own ‘erotic thoughts.’']
Most millennials believe student debt is a "major" problem—and this is who they blame.;[A majority of young Americans say student debt is a major issue facing the nation, a new poll finds, and many blame colleges for the problem.];['colleges']
Family values.;[TEL AVIV – The sister of a Palestinian terrorist who plowed his truck into a group of soldiers in Jerusalem on Sunday, killing four and wounding 16, said the family was "thankful" for his "most beautiful martyrdom.", At least nine people have been arrested in connection with the attack, mostly members of the Qanbar family.];['TEL AVIV – The sister of a Palestinian terrorist who plowed his truck into a group of soldiers in Jerusalem on Sunday, killing four and wounding 16, said the family was "thankful" for his "most beautiful martyrdom."']
@KimKardashian steps out in leggings for Pilates class;[Kim Kardashian stepped out in leggings Tuesday for a Pilates class in Los Angeles.];['Kim Kardashian stepped out in leggings Tuesday for a Pilates class in Los Angeles']
Former "Full House" star is now a go-go-dancer;[Back in the early 1990s, Blake McIver was a child actor with family-friendly roles in "Full House," "The Little Rascals" and "Home Improvement.", Today, McIver is a go-go dancer in Los Angeles.];['Blake McIver']
Proof that Santa Claus loves pit bulls;[But what the pit bull/English boxer mix, who belongs to Miles Clark Gray of the Washington Animal Rescue League in D.C., really wanted for Christmas was on the floor -- in the form of a great big belly rub.];['a great big belly rub']
What Does the ‘Brexit’ Vote Mean for Northern Ireland, Scotland and Wales?;[U.K. Prime Minister has said that negotiations with the European Union over the country’s exit will require the engagement of the Scottish, Welsh and Northern Ireland governments., But the vote has exposed polarization between Scotland and large parts of England who voted to stay and other parts of the U.K. Scottish First Minister Nicola Sturgeon said a [...]];['U.K. Prime Minister has said that negotiations with the European Union over the country’s exit will require the engagement of the Scottish, Welsh and Northern Ireland governments.']
This is the difference between a job and a calling;[I’ve learned that work is most fulfilling when it’s a calling., And often, it’s a calling because you find a deep sense of purpose and positive impact in your role., In Corporate Culture and Performance, authors John Kotter and James Heskett write that purposeful, value-based companies outperform their counterparts with 400% higher revenues, 700% greater job growth and 1,200% higher stock prices., Many people start to explore their feelings when they’re unhappy, dissatisfied with their job and/or upset with their personal life.];['it’s a calling because you find a deep sense of purpose and positive impact in your role']
The Ice Bucket Challenge actually ... worked?;[As you may recall, the Ice Bucket Challenge went viral in the summer of 2014., The idea was to challenge friends to either dump a bucket of ice water over their heads or donate to the ALS Association., With the reported $115 million raised from the Ice Bucket Challenge, the ALS Association funded six research projects, one of which recently published its findings: identification of a new gene that contributes to the disease.];['With the reported $115 million raised from the Ice Bucket Challenge, the ALS Association funded six research projects,']
Do Trees Sleep at Night?;[It depends on how you define "sleep," but trees do relax their branches at night, which might be a sign of snoozing, scientists said., Trees might sleep after dark, according to precise laser measurements that detected the plants' branches drooping at night.];['It depends on how you define "sleep," but trees do relax their branches at night, which might be a sign of snoozing, scientists said.']
Cop met little girl in 1998; now she's done this;[A retired police officer who carried a young girl to safety nearly 20 years ago was reunited with her during her college graduation.];['college graduation']
We bet you didn't know this about your ice cube trays;[Egg cartons and plastic ice cube trays make great organizational tools for jewelry, cuff links and other trinkets, and they'll easily fit inside your drawer.];['great organizational tools']
Why Voting for Donald Trump Is a Morally Good Choice;[Some of my Christian friends tell me they can’t in good conscience vote for Donald Trump because, when faced with a choice between "the lesser of two evils," the morally right thing is to choose neither one., I do not think that voting for Donald Trump is a morally evil choice because there is nothing morally wrong with voting for a flawed candidate if you think he will do more good for the nation than his opponent.];['nothing morally wrong with voting for a flawed candidate if you think he will do more good for the nation than his opponent']
Here’s who Warren Buffett thinks should be the next Fed chairman;[That appears to be Warren Buffett's philosophy when it comes to who should be the next head of the Federal Reserve -- he'd rather have current Chairman Ben Bernanke remain in the position.];['Ben Bernanke']
